genes_ens	genes_symb	DMSO_24h_1	DMSO_24h_2	DMSO_24h_3	DMSO_24h_4	Enz_1uM_24h_1	Enz_1uM_24h_2	Enz_1uM_24h_3	Enz_1uM_24h_4	siCon_48h_1	siCon_48h_2	siCon_48h_3	siCon_48h_4	siAR_48h_1	siAR_48h_2	siAR_48h_3	siAR_48h_4
ENSG00000274383	CTD-2017F17.2	8.005575055	7.836526706	5.569808643	7.132039143	7.92219453	6.916034743	6.504590768	8.458013174	6.226389868	8.644599323	7.328070155	7.151494626	5.231451551	9.161507845	5.530536456	10.36301211
ENSG00000274386	RP5-994D16.11	2.604223211	1.673821238	1.055332164	1.584897587	1.528844559	1.200988069	1.719070417	2.688205737	1.1674481	1.774719066	2.290021923	1.986526285	0.916852334	1.738680321	4.64170024	1.570153349
ENSG00000274414	RP5-965G21.4	0.675168981	0.684745052	0.586295647	1.584897587	0.868661681	0.869681016	0.88276589	0.655659936	0.555927667	0.629739023	0.101778752	1.191915771	0.862919843	1.738680321	0.691317057	1.695765617
ENSG00000274419	TBC1D3D	0.964527115	1.635779846	2.286553022	1.849047185	2.189027436	1.573708504	2.044299956	2.229243782	2.112525134	2.175462081	1.374013154	1.827604182	1.294379765	1.671808001	0.987595796	1.004898144
ENSG00000274422	LL22NC03-2H8.5	3.954561172	2.35856629	1.817516505	2.553446113	3.161928519	3.727204352	5.575363516	5.310845481	1.389819167	2.461707092	3.307809445	1.748143131	2.211232099	1.805552641	2.567749069	3.893980306
ENSG00000274423	RP11-544O24.2	3.85810846	3.119394126	2.872848669	3.786144236	2.744970912	2.981763482	2.834143121	3.802827629	2.890823867	3.148695117	3.307809445	2.940058902	3.397746883	2.474275841	2.962787387	2.951888297
ENSG00000274425	AC114271.2	7.71621692	7.341988613	5.745697337	9.421335658	6.914546981	7.785715758	8.084277098	9.966031027	6.448760934	6.411888239	6.564729513	10.80670299	7.280886179	7.623444484	11.25859207	9.106889426
ENSG00000274471	RP11-228M15.1	2.025506942	1.673821238	1.465739117	1.232698123	2.084788034	2.19490923	2.834143121	1.966979808	1.056262567	0.686988026	1.272234402	1.032993668	1.402244746	1.671808001	1.283874535	0.94209201
ENSG00000274487	CH17-431G21.1	10.51334555	14.41768748	12.6053564	16.0250756	14.45453037	16.52393929	17.74824053	18.62074218	12.78633634	13.56801351	13.23123778	13.905684	12.02694532	9.562741766	13.43130282	13.81734947
ENSG00000274512	TBC1D3L	2.797128634	3.271559693	4.221328656	4.1383437	4.517040741	4.099924787	4.831981714	4.19622359	3.335566	4.637169173	4.223818214	3.019519953	3.829206805	3.343616002	1.975191592	4.019592574
